name,group,color,split
akugum.jpg,,,train
Aurora.jpg,,,train
beam_1.jpg,11,#bc855d,test
beam_2.jpg,11,#b49773,test
beam_3.jpg,11,#b9804a,train
beam_4.jpg,11,#975640,val
beam_5.jpg,11,#b89e88,val
beam_6.jpg,11,#bf8c69,train
beam_7.jpg,11,#c6c4bf,train
beam_8.jpg,11,#cb9b4b,train
body_test.jpg,,,train
bread.jpg,,,train
bricks_1_2.jpg,6,#c2c2c2,val
bricks_1_3.jpg,6,#ad745d,test
bricks_1_4.jpg,6,#e99b71,train
bricks_1.jpg,6,#9a4834,train
bricks_2_2.jpg,6,#924c36,train
bricks_2_3.jpg,6,#b27256,test
bricks_2_4.jpg,6,#ee9172,val
bricks_2.jpg,6,#c2c1c4,val
bricks_3_2.jpg,6,#934b31,train
bricks_3_3.jpg,6,#bababa,train
bricks_3_4.jpg,6,#e1ab7d,train
bricks_3.jpg,6,#b0805f,train
bricks_4_2.jpg,6,#8e583a,test
bricks_4_3.jpg,6,#adadaf,train
bricks_4_4.jpg,6,#b37d65,train
bricks_4.jpg,6,#d7a87d,train
carlamp_1.jpg,,,test
carlamp_2.jpg,,,train
carlamp_3.jpg,,,val
carlamp.jpg,,,train
carpet_1_1.jpg,9,#a77328,train
carpet_1_2.jpg,9,#993d30,train
carpet_1_3.jpg,9,#528543,test
carpet_1_4.jpg,9,#858585,train
carpet_1_5.jpg,9,#9d8362,train
carpet_1_6.jpg,9,#8162a6,train
carpet_2_1.jpg,9,#df8c6a,train
carpet_2_2.jpg,9,#78a46f,train
carpet_2_3.jpg,9,#858585,val
carpet_2_4.jpg,9,#dc7129,train
carpet_2_5.jpg,9,#4278a6,test
carpet_2_6.jpg,9,#56638f,val
carpet.jpg,,,train
casinofishka.jpg,,,val
cats.jpg,,,train
chiken.jpg,,,train
clock_01.jpg,,,train
clock_02.jpg,,,train
croissant.jpg,,,train
decorstone_1_1.jpg,7,#b79982,val
decorstone_1_2.jpg,7,#c29a77,train
decorstone_1_3.jpg,7,#cfb8aa,train
decorstone_2_1.jpg,7,#90644e,test
decorstone_2_2.jpg,7,#a39285,train
decorstone_3_1.jpg,7,#b39887,train
decorstone_3_2.jpg,7,#817263,val
decorstone_4_1.jpg,7,#c7c6c3,train
dino.jpg,,,test
facing_stone_1.jpg,7,#c6bcb4,test
facing_stone_2.jpg,7,#d5cac0,train
fairy.jpg,,,val
flower_10.png,,,train
flower_1.png,,,train
flower_2.png,,,test
flower_3.png,,,train
flower_5.png,,,train
flower_7.png,,,val
flower_9.png,,,train
grass_1.jpg,,,train
grass_2.jpg,,,train
grass_4.jpg,,,val
grass_8.jpg,,,test
grid_01.jpg,,,test
ground_10.jpg,14,#a08c75,train
ground_11.jpg,14,#5ca63d,val
ground_12.jpg,14,#4f743a,train
ground_1.jpg,14,#689059,train
ground_2.jpg,14,#6c9948,train
ground_3.jpg,14,#769953,test
ground_4.jpg,14,#837d59,train
ground_5.jpg,14,#687541,train
ground_6.jpg,14,#6a7643,val
ground_7.jpg,14,#8c7e77,train
ground_8.jpg,14,#8b7656,test
ground_9.jpg,14,#8e6d5b,val
hair_01.jpg,,,train
hair_06.jpg,,,train
hdvrodtex.jpg,,,train
humaneye_02.jpg,,,val
humaneye_03.jpg,,,test
humaneye_04.jpg,,,train
KnightOnDino.jpg,,,train
laminate_0_1_1.jpg,4,#9a6845,train
laminate_0_1_2.jpg,4,#675740,train
laminate_0_1_3.jpg,4,#3e3731,test
laminate_0_1_4.jpg,4,#504740,train
laminate_0_1_5.jpg,4,#493222,train
laminate_0_1_6.jpg,4,#dedede,train
laminate_0_2_1.jpg,4,#be9c76,val
laminate_0_2_2.jpg,4,#c48863,train
laminate_0_2_3.jpg,4,#c99645,test
laminate_0_2_4.jpg,4,#81583c,train
laminate_0_2_5.jpg,4,#bd885e,train
laminate_1_1.jpg,4,#9a6845,train
laminate_1_2.jpg,4,#675740,train
laminate_1_3.jpg,4,#3e3731,train
laminate_1_4.jpg,4,#504740,val
laminate_1_5.jpg,4,#493222,train
laminate_2_1.jpg,4,#be9c76,val
laminate_2_2.jpg,4,#c48863,test
laminate_2_3.jpg,4,#c99645,val
laminate_2_4.jpg,4,#81583c,test
laminate_2_5.jpg,4,#bd885e,train
leaf_3_3.png,,,val
leather_10_1.jpg,12,#cd8513,train
leather_10_2.jpg,12,#764d98,val
leather_1_10.jpg,12,#347906,test
leather_1_1.jpg,12,#3d322b,train
leather_1_2.jpg,12,#ab2b36,train
leather_1_3.jpg,12,#a09586,train
leather_1_4.jpg,12,#b4aca4,train
leather_1_5.jpg,12,#826349,train
leather_1_6.jpg,12,#272727,train
leather_1_7.jpg,12,#703131,train
leather_1_8.jpg,12,#4b4135,val
leather_1_9.jpg,12,#1d4306,val
leather_2_10.jpg,12,#2f7801,test
leather_2_1.jpg,12,#2f2621,train
leather_2_2.jpg,12,#92272f,train
leather_2_3.jpg,12,#948d83,test
leather_2_4.jpg,12,#b1aba6,train
leather_2_5.jpg,12,#74573f,val
leather_2_6.jpg,12,#232323,train
leather_2_7.jpg,12,#642c2b,train
leather_2_8.jpg,12,#433a2f,train
leather_2_9.jpg,12,#1d4603,train
leather_3_10.jpg,12,#377f07,train
leather_3_1.jpg,12,#42362e,train
leather_3_2.jpg,12,#b72c39,train
leather_3_3.jpg,12,#a99d8e,train
leather_3_4.jpg,12,#bdb4ac,train
leather_3_5.jpg,12,#88684b,val
leather_3_6.jpg,12,#2a2a2a,val
leather_3_7.jpg,12,#773433,train
leather_3_8.jpg,12,#4f4539,train
leather_3_9.jpg,12,#1f4705,train
leather_4_1.jpg,12,#ba805d,test
leather_5_1.jpg,12,#bf865b,train
leather_6_1.jpg,12,#ab8c6d,train
leather_7_1.jpg,12,#eadeac,train
leather_7_2.jpg,12,#e9b59a,test
leather_7_3.jpg,12,#5B8996,val
leather_8_1.jpg,12,#573529,train
leather_9_1.jpg,12,#d6b64a,test
leather_9_2.jpg,12,#c99354,test
leather_9_3.jpg,12,#c1a88a,test
leather_riter.jpg,12,#171d19,val
leaves_11.png,,,train
leaves_12.png,,,train
leaves_13.png,,,train
leaves_14.png,,,train
leaves_15.png,,,train
leaves_16.png,,,val
leaves_17.png,,,train
leaves_18.png,,,test
leaves_19.png,,,val
leaves_1.png,,,train
leaves_20.png,,,val
leaves_21.png,,,test
leaves_22.png,,,train
leaves_3.png,,,train
leaves_4.png,,,train
leaves_5.png,,,train
leaves_6.png,,,test
leaves_7.png,,,train
leaves_8.png,,,train
leaves_9.png,,,train
leprechaunt.jpg,,,val
linen_1_1.jpg,13,#cbe0e5,test
linen_1_2.jpg,13,#e3e1c9,train
linen_1_3.jpg,13,#c9cce3,val
linen_1_4.jpg,13,#e6e6e6,train
lnm_10.jpg,5,#b57546,val
lnm_11.jpg,5,#deae82,train
lnm_12.jpg,5,#af6941,test
lnm_13.jpg,5,#dcaa76,train
lnm_14.jpg,5,#b58369,train
lnm_15.jpg,5,#d38456,train
lnm_16.jpg,5,#e6d4bc,val
lnm_17.jpg,5,#b86b3f,test
lnm_18.jpg,5,#e9be9d,train
lnm_19.jpg,5,#c8a184,train
lnm_1.jpg,5,#a6856f,train
lnm_20.jpg,5,#ae9981,test
lnm_2.jpg,5,#ad6f2b,train
lnm_3.jpg,5,#594534,train
lnm_4.jpg,5,#af773c,train
lnm_5.jpg,5,#da914b,val
lnm_6.jpg,5,#dfa266,train
lnm_7.jpg,5,#ce9d71,test
lnm_8.jpg,5,#be8254,val
lnm_9.jpg,5,#c7ac8c,train
magazine_1.jpg,,,test
magazine_2.jpg,,,train
magazine_3.jpg,,,val
Militiaman.jpg,,,val
panatta.jpg,,,test
paneling_1.jpg,11,#b29e76,train
paneling_2.jpg,11,#b96a30,test
paneling_3.jpg,11,#b47e65,val
paolu.jpg,,,train
path_1.jpg,14,#cf9b81,train
path_2.jpg,14,#aca597,test
path_3.jpg,14,#afb3aa,val
path_4.jpg,14,#8d8c7e,train
path_5.jpg,14,#908b8c,train
path_6.jpg,14,#767e4c,train
path_7.jpg,14,#98a88b,train
path_8.jpg,14,#a29b8b,train
path_9.jpg,14,#7e6c56,train
pet_01.jpg,,,train
pet_02.jpg,,,train
pet_03.jpg,,,train
pet_04.jpg,,,test
pet_05.jpg,,,train
pet_06.jpg,,,train
pet_07.jpg,,,train
pet_08.jpg,,,train
pet_09.jpg,,,val
pet_10.jpg,,,test
picture_10.jpg,15,#7ab92b,train
picture_11.jpg,15,#fb211e,train
picture_1.jpg,15,#f16280,train
picture_2.jpg,15,#6c6247,val
picture_3.jpg,15,#3c101a,val
picture_4.jpg,15,#1a4a63,test
picture_5.jpg,15,#cacaca,test
picture_6.jpg,15,#959595,train
picture_7.jpg,15,#f6d710,train
picture_8.jpg,15,#3e30e,train
picture_9.jpg,15,#48bb20,train
picture.jpg,,,train
potang_1_1.jpg,11,#745335,val
potang_1_2.jpg,11,#9a681f,train
potang_1_3.jpg,11,#64292d,train
potang_1_4.jpg,11,#54312b,test
potang_1_5.jpg,11,#775530,train
potang_1_6.jpg,11,#362e2b,train
potang_2_1.jpg,11,#a17f60,test
potang_2_2.jpg,11,#926957,train
potang_2_3.jpg,11,#b9b180,train
potang_2_4.jpg,11,#6e6661,val
potang_2_5.jpg,11,#3d3631,train
potang_2_6.jpg,11,#D6D6D6,test
potang_3_1.jpg,11,#cc9762,train
potang_3_2.jpg,11,#87453f,val
potang_3_3.jpg,11,#d7be73,train
potang_3_4.jpg,11,#69645a,val
potang_3_5.jpg,11,#CFCCCF,test
prkt_10.jpg,3,#965526,train
prkt_11.jpg,3,#53382d,train
prkt_12.jpg,3,#b89765,val
prkt_13.jpg,3,#eeca9c,train
prkt_14.jpg,3,#b6762f,val
prkt_15.jpg,3,#ae9061,train
prkt_16.jpg,3,#c09976,test
prkt_17.jpg,3,#e5a557,train
prkt_18.jpg,3,#f8aa53,test
prkt_19.jpg,3,#b38b4b,train
prkt_1.jpg,3,#a3733d,train
prkt_20.jpg,3,#cd8d48,test
prkt_2.jpg,3,#b97041,train
prkt_3.jpg,3,#9d5236,val
prkt_4.jpg,3,#a06434,train
prkt_5.jpg,3,#ca8343,train
prkt_6.jpg,3,#c09c70,test
prkt_7.jpg,3,#d6b67b,train
prkt_8.jpg,3,#d98e33,val
prkt_9.jpg,3,#b88c5e,train
ProfInOldSuit.jpg,,,train
rooftile_1.jpg,6,#b6653f,train
